Property Flag,% of Initial Pool Balance,2nd Largest Tenant,2nd Largest Tenant % of NSF,2nd Largest Tenant Lease Expiration(4),2nd Largest Tenant NSF,3rd Largest Tenant,3rd Largest Tenant % of NSF,3rd Largest Tenant Lease Expiration(4),3rd Largest Tenant NSF,4th Largest Tenant,4th Largest Tenant % of NSF,4th Largest Tenant Lease Expiration(4),4th Largest Tenant NSF,5th Largest Tenant,5th Largest Tenant % of NSF,5th Largest Tenant Lease Expiration(4),5th Largest Tenant NSF,ARD (Yes/No),ARD Loan Final Maturity Date,Address,Administrative Fee Rate(3) %,Annual Debt Service (IO) $,Annual Debt Service (PI) $,Appraisal Report Date,Appraised Value $,Appraised Value As-of Date,Asset Representations Reviewer Fee Rate %,CREFC Fee Rate %,Cash Management Status,City,Coop - Coop Units,Coop - Investor Units,Coop - LTV as Rental %,Coop - Rental Value $,Coop - Sponsor Units,Coop - Sponsor/ Investor Carry $,Coop - Unsold Percent %,County,Crossed With Other Loans,Cut-Off Date LTV Ratio %,Cut-off Date Balance $,Cut-off Date Balance per SF/ Units/Rooms $,Cut-off Date Mezzanine Debt Balance $,Cut-off Date Pari Passu Mortgage Debt Balance $,Cut-off Date Subord. Mortgage Debt Balance $,Detailed Property Type,Due Date,Engineering Report Date,Environmental Phase I Report Date,First PI Payment Date (Partial IO Loans),First Payment Date,Footnotes,General Property Type,Grace Period to Default (Days),Grace Period to Late Charge (Days),Ground Lease Initial Lease Expiration Date,Hotel Franchise Agreement Expiration Date,Initial Other Reserves $,Interest Accrual Basis,Largest Tenant,Largest Tenant % of NSF,Largest Tenant Lease Expiration(4),Largest Tenant NSF,Loan ID,Loan Purpose,Lockbox Type,Master Servicing Fee Rate %,Maturity Date,Maturity Date LTV Ratio %,Maturity/ARD Balance $,Monthly Debt Service (IO) $,Monthly Debt Service (PI) $,Monthly Insurance Reserves $,Monthly Replacement Reserves $,Monthly TI/LC Reserves $,Monthly Tax Reserves $,Mortgage Loan Originator(1),Mortgage Loan Seller(1),Mortgage Rate %,Most Recent Expenses $,Most Recent NOI $,Most Recent NOI Date,Most Recent NOI Debt Yield %,Most Recent Revenues $,No. of Properties,Non-Recourse Carveout Guarantor,Note Date,Occupancy Rate As-of Date,Occupancy Rate(2) %,Ongoing Other Reserves $,Original Amortization Term (mos.),Original Balance $,Original Interest-Only Period (mos.),Original Term to Maturity (mos.),Other Reserves Description,PML %,Pari Passu Loan Primary Servicing Fee Rate %,Prepayment Provisions (No. of Payments),Primary Servicing Fee Rate %,Property Name,Related-Borrower Loans,Remaining Amortization Term (mos.),Remaining Interest-Only Period (mos.),Remaining Term to Maturity (mos.),Replacement Reserve Cap $,Seasoning (mos.),Second Most Recent Expenses $,Second Most Recent NOI $,Second Most Recent NOI Date,Second Most Recent NOI Debt Yield %,Second Most Recent Revenues $,Seismic Report Date,Seismic Zone (Y/N),Size,Sponsor,State,TI/LC Reserve Cap $,Third Most Recent Expenses $,Third Most Recent NOI $,Third Most Recent NOI Date,Third Most Recent NOI Debt Yield %,Third Most Recent Revenues $,Title Type,Total Debt Cut-off Date LTV Ratio %,Total Debt UW NCF DSCR,Total Debt UW NOI Debt Yield %,Total Mortgage Debt Cut-off Date LTV Ratio %,Total Mortgage Debt UW NCF DSCR,Total Mortgage Debt UW NOI Debt Yield %,Trust Advisor Fee Rate %,Trustee Fee Rate %,UW NCF DSCR (IO),UW NCF DSCR (PI),UW NOI DSCR (IO),UW NOI DSCR (PI),Underwritten Effective Gross Income $,Underwritten NCF $,Underwritten NCF Debt Yield %,Underwritten NOI $,Underwritten NOI Debt Yield %,Underwritten Occupancy Rate %,Underwritten Replacement Reserves $,Underwritten TI/LC $,Underwritten Total Expenses $,Units of Measure,Upfront Deferred Maint. Reserve $,Upfront Insurance Reserves $,Upfront Replacement Reserves $,Upfront TI/LC Reserves $,Upfront Tax Reserves $,YM Formula,Year Built,Year Renovated,Zip Code
Loan,6.7,,,,,,,,,,,,,,,,,No,6-2-2029,2211 Kuhio Avenue,0.01448,"$3,353,437.50",0.00,18-12-2018,"123,000,000",30-11-2018,0.00030,0.00050,Springing,Honolulu,,,,,,,,Honolulu,No,51.2,"63,000,000","192,660.55",,,,Limited Service,Sixth,15-11-2018,15-11-2018,,6-3-2019,"11, 12, 13",Hospitality,0,0,,,"10,000,000",Actual/360,,,,,1.0,Refinance,Hard,0.00250,6-2-2029,51.2,"63,000,000","279,453.13",0.00,"14,046","54,326",417,"58,485",BSPRT,BSPRT,5.2500,"9,961,793","7,380,917",31-12-2018,11.7,"17,342,710",1.0,"Fukuyoshi Kawazoe; Fukuyoshi Kawazoe, as Trustee of the Fukuyoshi Kawazoe Trust, Dated May 11, 2004; Michael Kawazoe; Michael Kawazoe as Trustee of the Kawazoe 2018 Dynasty Trust, Dated December 14, 2018",17-1-2019,31-12-2018,85.0,0,0.0,"63,000,000",120.0,120.0,"Business Plan Reserve ($10,000,000)",,0.00000,LO(25);DEF(91);O(4),0.00250,Ohana Waikiki Malia Hotel Shops,,0.0,119.0,119.0,0,1.0,"9,672,555","7,708,121",31-12-2017,12.2,"17,380,676",,No,327.0,"Fukuyoshi Kawazoe; Fukuyoshi Kawazoe, as Trustee of the Fukuyoshi Kawazoe Trust, Dated May 11, 2004; Michael Kawazoe; Michael Kawazoe as Trustee of the Kawazoe 2018 Dynasty Trust, Dated December 14, 2018",HI,"20,000","9,449,682","8,464,988",31-12-2016,13.4,"17,914,670",Fee,,,,,,,0.00119,0.00749,2.18x,,2.27x,,"17,601,845","7,294,141",11.6,"7,621,958",12.1,85.0,"327,817",0,"9,979,887",Rooms,"49,788","28,092","54,326",0,"58,485",,1980,2010,96815.0
Loan,6.4,,,,,,,,,,,,,,,,,No,1-1-2029,208 South Akard Street,0.01448,"$2,670,583.32",0.00,7-11-2018,"250,200,000",7-11-2018,0.00030,0.00050,Springing,Dallas,,,,,,,,Dallas,No,52.6,"60,000,000",136.16,,"71,500,000",,CBD,First,1-8-2018,1-8-2018,,1-2-2019,"5, 10",Office,5,0,,,0,Actual/360,ATT,100.0,31-12-2031,965800.0,2.0,Acquisition,Springing,0.00250,1-1-2029,52.6,"60,000,000","222,548.61",0.00,0,"16,097",0,0,MSBNA,MSMCH,4.3900,,,,,,1.0,Dundon Fund II LP,19-12-2018,1-3-2019,100.0,0,0.0,"60,000,000",120.0,120.0,,,0.00250,LO(26);DEF(89);O(5),0.00000,One ATT,,0.0,118.0,118.0,"579,480",2.0,,,,,,,No,965800.0,Dundon Capital Partners; Woods Capital,TX,0,,,,,,Fee,,,,52.6,2.45x,11.0,0.00119,0.00749,2.45x,,2.48x,,"14,954,362","14,312,571",10.9,"14,505,731",11.0,99.0,"193,160",0,"448,631",SF,0,0,0,"74,145,325",0,,1983,,75202.0
Loan,6.1,"Grantham University, Inc.",8.3,31-8-2024,65487.0,Essence of Australia,7.5,31-3-2021,59141.0,Axelacare Health Solutions LLC,5.8,30-4-2022,45199.0,PlattForm Advertising,5.6,31-7-2023,43555.0,No,1-2-2029,"11300 Corporate Avenue; 15501-15529, 15705-15737, 16011 College Boulevard; 11140-11146, 11150-11180, 11206-11228 Thompson Avenue; 15200 Santa Fe Trail Drive; 15500, 15620-15642, 16025-16105 West 113th Street",0.01448,"$2,962,285.20",0.00,26-12-2018,"88,700,000",7-12-2018,0.00030,0.00050,In Place,Lenexa,,,,,,,,Johnson,No,64.3,"57,000,000",72.65,"9,000,000",,,Suburban,First,19-12-2018,19-12-2018,,1-3-2019,14,Office,5,0,,,"7,415,815",Actual/360,University of Kansas Hospital Authority,21.9,31-7-2030,171449.0,3.0,Acquisition,Hard,0.00250,1-2-2029,64.3,"57,000,000","246,857.10",0.00,0,"13,076",0,"212,246",MSBNA,MSMCH,5.1258,"6,478,102","3,961,381",30-11-2018 TTM,6.9,"10,439,483",1.0,Daniel R. White; Christopher L. Erickson,22-1-2019,1-1-2019,86.0,0,0.0,"57,000,000",120.0,120.0,"Existing TI/LC Reserve ($5,762,342); Free Rent Reserve ($1,653,473)",,0.00000,LO(25);DEF(91);O(4),0.00250,Southlake Office Park,,0.0,119.0,119.0,0,1.0,"6,141,808","3,430,689",31-12-2017,6.0,"9,572,497",,No,784557.0,"City Ventures Holdings, LLC",KS,"2,000,000","5,712,095","3,516,334",31-12-2016,6.2,"9,228,429",Fee,74.4,1.49x,9.9,,,,0.00119,0.00749,1.89x,,2.21x,,"13,430,719","5,596,176",9.8,"6,545,490",11.5,79.9,"156,911","792,403","6,885,229",SF,0,0,0,"2,000,000","636,737",,2002,,66219.0
Loan,4.6,,,,,,,,,,,,,,,,,No,1-3-2029,13402 Noel Road,0.01448,0.00,"$2,944,745.16",22-1-2019,"61,200,000",10-12-2018,0.00030,0.00050,Springing,Dallas,,,,,,,,Dallas,No,70.0,"42,840,000","166,046.51",,,,Full Service,First,14-1-2019,14-1-2019,,1-4-2019,"8, 9, 15",Hospitality,5,5,,23-8-2030,0,Actual/360,,,,,4.0,Refinance,Hard,0.00250,1-3-2029,58.8,"35,975,332",0.00,"245,395.43",0,"20,526",0,"58,714",MSBNA,MSMCH,5.5800,"7,231,111","5,084,421",31-12-2018,11.9,"12,315,532",1.0,Nadir Badruddin,8-2-2019,31-12-2018,81.9,0,360.0,"42,840,000",0.0,120.0,,,0.00000,LO(24);DEF(92);O(4),0.00250,Le Meridien Hotel Dallas,,360.0,0.0,120.0,0,0.0,"7,261,687","4,540,979",31-12-2017,10.6,"11,802,666",,No,258.0,Nadir Badruddin,TX,0,"7,493,063","4,837,600",31-12-2016,11.3,"12,330,663",Fee,,,,,,,0.00119,0.00749,,1.56x,,1.72x,"12,315,532","4,580,056",10.7,"5,072,677",11.8,81.9,"492,621",0,"7,242,855",Rooms,0,0,0,0,"176,142",,2002,2018,75240.0
Loan,4.0,,,,,,,,,,,,,,,,,No,1-2-2029,101 South Huntington Avenue,0.01448,"$1,504,469.16",0.00,7-11-2018,"123,250,000",7-11-2018,0.00030,0.00050,Springing,Boston,,,,,,,,Suffolk,No,30.0,"37,000,000","189,743.59",,,"36,950,000",High Rise,First,8-10-2018,9-10-2018,,1-3-2019,"5, 16",Multifamily,5,2,,,0,Actual/360,,,,,5.0,Acquisition,Soft,0.00250,1-2-2029,30.0,"37,000,000","125,372.43",0.00,0,0,0,0,MSBNA,MSMCH,4.01043243,"2,588,087","5,070,499",30-11-2018 T-3 Ann.,13.7,"7,658,586",1.0,101 Huntington Owner (DE) LLC,8-1-2019,4-1-2019,96.4,0,0.0,"37,000,000",120.0,120.0,,,0.00000,LO(25);DEF(88);O(7),0.00250,Serenity Apartments,,0.0,119.0,119.0,0,1.0,"2,543,064","4,718,752",30-11-2018 T-6 Ann.,12.8,"7,261,817",,No,195.0,Oxford Properties LLC,MA,0,"2,254,888","3,585,734",30-11-2018 TTM,9.7,"5,840,622",Fee,,,,60.0,1.54x,6.8,0.00119,0.00749,3.31x,,3.35x,,"7,633,304","4,985,750",13.5,"5,034,500",13.6,94.9,"48,750",0,"2,598,804",Units,0,0,0,0,0,,2017,,2130.0
Loan,3.7,,,,,,,,,,,,,,,,,No,6-1-2029,,0.01323,"$1,656,174.12",0.00,,"251,500,000",,0.00030,0.00050,Springing,,,,,,,,,,No,33.8,"35,000,000","97,701.15","45,000,000","50,000,000","67,000,000",,Sixth,,,,6-2-2019,"5, 6, 7, 10",,10 (2 times during the term of the loan),10 (2 times during the term of the loan),,,0,Actual/360,,,,,6.0,Acquisition/Refinance,Soft,0.00250,6-1-2029,33.8,"35,000,000","138,014.51",0.00,"29,617",0,0,"241,500",CCRE,CCRE,4.6671053,"6,130,784","11,994,718",31-10-2018 TTM,14.1,"18,125,502",3.0,Tomas Rosenthal,18-12-2018,,94.6,0,0.0,"35,000,000",120.0,120.0,,,0.00125,LO(26);DEF(90);O(4),0.00000,Fairfax Multifamily Portfolio,Group A,0.0,118.0,118.0,"500,000",2.0,"6,093,957","12,094,717",31-12-2017,14.2,"18,188,673",,,870.0,Tomas Rosenthal,,0,"5,861,186","12,028,285",31-12-2016,14.2,"17,889,471",,78.3,1.17x,6.2,60.4,1.69x,8.0,0.00119,0.00749,3.02x,,3.02x,,"18,217,663","12,137,763",14.3,"12,137,763",14.3,94.2,0,0,"6,079,900",Units,"216,938","249,500","11,136,554",0,"483,000",,,,
Property,1.6,,,,,,,,,,,,,,,,,,,11842 Federalist Way,,,,2-1-2019,"109,900,000",30-10-2018,,,,Fairfax,,,,,,,,Fairfax,,,"15,243,421",,,,,Garden,,28-11-2018,30-11-2018,,,,Multifamily,,,,,,,,,,,6.01,,,,,,"15,243,421",,,,,,,CCRE,CCRE,,"2,554,119","5,323,383",31-10-2018 TTM,,"7,877,502",,,,13-11-2018,94.3,,,"15,243,421",,,,,,,,Ellipse at Fairfax Corner,,,,,,,"2,627,325","5,254,703",31-12-2017,,"7,882,028",,No,404.0,,VA,,"2,462,222","5,387,452",31-12-2016,,"7,849,675",Fee,,,,,,,,,,,,,"7,976,395","5,409,074",,"5,409,074",,94.3,0,0,"2,567,320",Units,,,,,,,1989,2017,22030.0
Property,1.1,,,,,,,,,,,,,,,,,,,500 and 508 Pride Avenue,,,,2-1-2019,"71,800,000",30-10-2018,,,,Herndon,,,,,,,,Fairfax,,,"9,947,368",,,,,Garden,,30-11-2018,30-11-2018,,,,Multifamily,,,,,,,,,,,6.02,,,,,,"9,947,368",,,,,,,CCRE,CCRE,,"1,939,243","3,394,850",31-10-2018 TTM,,"5,334,093",,,,13-11-2018,94.0,,,"9,947,368",,,,,,,,Townes at Herndon Center,,,,,,,"1,889,303","3,404,319",31-12-2017,,"5,293,622",,No,216.0,,VA,,"1,818,218","3,305,843",31-12-2016,,"5,124,060",Fee,,,,,,,,,,,,,"5,224,434","3,300,744",,"3,300,744",,93.5,0,0,"1,923,689",Units,,,,,,,2002,2018,20170.0
Property,1.0,,,,,,,,,,,,,,,,,,,4201 Lauries Way and 4106 Brickell Drive,,,,2-1-2019,"69,800,000",30-10-2018,,,,Fairfax,,,,,,,,Fairfax,,,"9,809,211",,,,,Garden,,28-11-2018,30-11-2018,,,,Multifamily,,,,,,,,,,,6.03,,,,,,"9,809,211",,,,,,,CCRE,CCRE,,"1,637,422","3,276,486",31-10-2018 TTM,,"4,913,908",,,,13-11-2018,95.6,,,"9,809,211",,,,,,,,Windsor at Fair Lakes,,,,,,,"1,577,329","3,435,695",31-12-2017,,"5,013,024",,No,250.0,,VA,,"1,580,746","3,334,990",31-12-2016,,"4,915,736",Fee,,,,,,,,,,,,,"5,016,835","3,427,944",,"3,427,944",,95.0,0,0,"1,588,890",Units,,,,,,,1988,2018,22033.0
Loan,3.4,,,,,,,,,,,,,,,,,No,6-3-2029,,0.03448,"$1,719,910.42","$2,139,426.00",11-2-2019,"46,100,000",,0.00030,0.00050,Springing,,,,,,,,,,No,70.0,"32,250,000","44,299.45",,,,,Sixth,,,6-4-2021,6-4-2019,"6, 7, 10",,4 (2 times during the term of the loan),4 (2 times during the term of the loan),,,"413,207",Actual/360,,,,,7.0,Refinance,Soft,0.00250,6-3-2029,61.1,"28,152,277","143,325.87","178,285.50","13,214","16,123",0,"30,500",CCRE,CCRE,5.2600,"2,344,990","3,057,816",30-11-2018 TTM,9.5,"5,402,806",6.0,"Arbor Realty SR, Inc.",8-2-2019,,91.5,0,360.0,"32,250,000",24.0,120.0,Roof Replacement Reserve,,0.00000,LO(24);DEF(92);O(4),0.02250,FIGO Multifamily Portfolio III,Group A,360.0,24.0,120.0,0,0.0,"2,330,427","2,893,687",31-12-2017,9.0,"5,224,114",,,728.0,"Arbor Realty SR, Inc.",,0,"2,330,275","2,759,055",31-12-2016,8.6,"5,089,330",,,,,,,,0.00119,0.00749,1.69x,1.36x,1.80x,1.45x,"5,476,366","2,906,753",9.0,"3,100,227",9.6,86.3,"193,474",0,"2,376,139",Units,"78,000","105,714",0,0,"130,250",,,,
